Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color
"Opel Astra GTC, ","Opel Astra GTC, ",1.4 Sportive GTC,9.199 €,Gasolina,08.2013,123.316 km,140 CV / 103 kW,3,Cambio tipo manual,Rojo
"Peugeot 308, ","Peugeot 308, ",1.2 PureTech Style,10.699 €,Gasolina,02.2017,123.663 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Active,8.299 €,Gasolina,10.2015,124.286 km,82 CV / 60 kW,5,Cambio tipo manual,Rojo
"Citroen DS5, ","Citroen DS5, ",2.0 HDi Sport,12.899 €,Diésel,01.2014,124.294 km,163 CV / 120 kW,5,Cambio tipo automático,Morado
"Skoda Superb, ","Skoda Superb, ",2.0 TDI Ambition,11.499 €,Diésel,03.2013,124.351 km,140 CV / 103 kW,5,Cambio tipo manual,Beige
"Alfa Romeo MiTo, ","Alfa Romeo MiTo, ",1.4,7.899 €,Gasolina,02.2013,124.380 km,70 CV / 51 kW,3,Cambio tipo manual,Rojo
"Kia Sportage, ","Kia Sportage, ",1.6 GDI Drive 4x2,12.299 €,Gasolina,12.2014,124.388 km,135 CV / 99 kW,5,Cambio tipo manual,Blanco
"Fiat 500, ","Fiat 500, ",1.2 Lounge,6.899 €,Gasolina,04.2013,124.497 km,70 CV / 51 kW,3,Cambio tipo manual,Blanco
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",1.2 PureTech Live Edition,12.099 €,Gasolina,12.2015,124.530 km,130 CV / 96 kW,5,Cambio tipo manual,Gris
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Active,12.499 €,Híbrido,04.2016,124.660 km,100 CV / 73 kW,5,Cambio tipo automático,Azul
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Advance,14.599 €,Híbrido,04.2015,124.684 km,100 CV / 73 kW,5,Cambio tipo automático,Blanco
"Seat Arona, ","Seat Arona, ",1.0 TSI Style,17.999 €,Gasolina,11.2021,1637 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Suzuki Jimny, ","Suzuki Jimny, ",1.5 JX,23.599 €,Gasolina,12.2019,7923 km,102 CV / 75 kW,3,Cambio tipo manual,Blanco
"Renault Clio, ","Renault Clio, ",1.2 Life,10.999 €,Gasolina,05.2017,8229 km,73 CV / 54 kW,5,Cambio tipo manual,Blanco
"Opel Corsa, ","Opel Corsa, ",1.4 Turbo Excellence ecoFlex,10.499 €,Gasolina,04.2015,8923 km,100 CV / 74 kW,3,Cambio tipo manual,Rojo
"Seat Ibiza, ","Seat Ibiza, ",1.0 TSI Style,16.199 €,Gasolina,03.2021,12.354 km,95 CV / 70 kW,5,Cambio tipo manual,Gris
"Citroen C 3, ","Citroen C 3, ",1.2 e-THP Feel,14.999 €,Gasolina,10.2019,12.650 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Renault Clio, ","Renault Clio, ",1.6 Hybrid E-Tech Zen,19.999 €,Híbrido,05.2021,13.119 km,140 CV / 103 kW,5,Cambio tipo automático,Negro
"Dacia Sandero II, ","Dacia Sandero II, ",1.5 dCi Comfort,12.999 €,Diésel,01.2020,14.042 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Hyundai i20, ","Hyundai i20, ",1.0 TGDI Go! Navi,11.599 €,Gasolina,07.2016,14.559 km,100 CV / 74 kW,5,Cambio tipo manual,Rojo
"Volkswagen Tiguan, ","Volkswagen Tiguan, ",2.0 TDI T1 Sport BlueMotion,13.699 €,Diésel,10.2013,121.524 km,140 CV / 103 kW,5,Cambio tipo manual,Marrón
"Ford C-Max, ","Ford C-Max, ",1.5 TDCi Trend Plus,,Diésel,11.2016,122.100 km,120 CV / 88 kW,5,Cambio tipo manual,Azul
"Citroen Berlingo, ","Citroen Berlingo, ",1.6 Blue-HDi Multispace 20 Aniversario ,13.899 €,Diésel,09.2016,122.209 km,120 CV / 88 kW,5,Cambio tipo manual,Gris
"Nissan Note, ","Nissan Note, ",1.2 Acenta,7.599 €,Gasolina,10.2013,122.258 km,80 CV / 59 kW,5,Cambio tipo manual,Rojo
"Opel Corsa, ","Opel Corsa, ",1.3 CDTI Selective,,Diésel,10.2013,122.461 km,95 CV / 70 kW,5,Cambio tipo manual,Beige
"Opel Corsa, ","Opel Corsa, ",1.4 Selective,6.999 €,Gasolina,11.2013,122.784 km,100 CV / 74 kW,5,Cambio tipo manual,Blanco
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech  Style,,Gasolina,05.2016,122.867 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Citroen C 3, ","Citroen C 3, ",1.6 Blue-HDi Live Edition,,Diésel,02.2016,122.890 km,75 CV / 55 kW,5,Cambio tipo manual,Azul
"Nissan Juke, ","Nissan Juke, ",1.6 N-Connecta,12.599 €,Gasolina,01.2018,123.038 km,117 CV / 86 kW,5,Cambio tipo automático,Negro
"Nissan Pulsar, ","Nissan Pulsar, ",1.2 Acenta,,Gasolina,11.2016,123.146 km,115 CV / 85 kW,5,Cambio tipo manual,Blanco
"Opel Astra GTC, ","Opel Astra GTC, ",1.4 Sportive GTC,9.199 €,Gasolina,08.2013,123.316 km,140 CV / 103 kW,3,Cambio tipo manual,Rojo
"Peugeot 308, ","Peugeot 308, ",1.2 PureTech Style,10.699 €,Gasolina,02.2017,123.663 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Active,8.299 €,Gasolina,10.2015,124.286 km,82 CV / 60 kW,5,Cambio tipo manual,Rojo
"Citroen DS5, ","Citroen DS5, ",2.0 HDi Sport,12.899 €,Diésel,01.2014,124.294 km,163 CV / 120 kW,5,Cambio tipo automático,Morado
"Skoda Superb, ","Skoda Superb, ",2.0 TDI Ambition,11.499 €,Diésel,03.2013,124.351 km,140 CV / 103 kW,5,Cambio tipo manual,Beige
"Alfa Romeo MiTo, ","Alfa Romeo MiTo, ",1.4,7.899 €,Gasolina,02.2013,124.380 km,70 CV / 51 kW,3,Cambio tipo manual,Rojo
"Kia Sportage, ","Kia Sportage, ",1.6 GDI Drive 4x2,12.299 €,Gasolina,12.2014,124.388 km,135 CV / 99 kW,5,Cambio tipo manual,Blanco
"Fiat 500, ","Fiat 500, ",1.2 Lounge,6.899 €,Gasolina,04.2013,124.497 km,70 CV / 51 kW,3,Cambio tipo manual,Blanco
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",1.2 PureTech Live Edition,12.099 €,Gasolina,12.2015,124.530 km,130 CV / 96 kW,5,Cambio tipo manual,Gris
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Active,12.499 €,Híbrido,04.2016,124.660 km,100 CV / 73 kW,5,Cambio tipo automático,Azul
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Advance,14.599 €,Híbrido,04.2015,124.684 km,100 CV / 73 kW,5,Cambio tipo automático,Blanco
"Seat Arona, ","Seat Arona, ",1.0 TSI Style,17.999 €,Gasolina,11.2021,1637 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Suzuki Jimny, ","Suzuki Jimny, ",1.5 JX,23.599 €,Gasolina,12.2019,7923 km,102 CV / 75 kW,3,Cambio tipo manual,Blanco
"Renault Clio, ","Renault Clio, ",1.2 Life,10.999 €,Gasolina,05.2017,8229 km,73 CV / 54 kW,5,Cambio tipo manual,Blanco
"Opel Corsa, ","Opel Corsa, ",1.4 Turbo Excellence ecoFlex,10.499 €,Gasolina,04.2015,8923 km,100 CV / 74 kW,3,Cambio tipo manual,Rojo
"Seat Ibiza, ","Seat Ibiza, ",1.0 TSI Style,16.199 €,Gasolina,03.2021,12.354 km,95 CV / 70 kW,5,Cambio tipo manual,Gris
"Citroen C 3, ","Citroen C 3, ",1.2 e-THP Feel,14.999 €,Gasolina,10.2019,12.650 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Renault Clio, ","Renault Clio, ",1.6 Hybrid E-Tech Zen,19.999 €,Híbrido,05.2021,13.119 km,140 CV / 103 kW,5,Cambio tipo automático,Negro
"Dacia Sandero II, ","Dacia Sandero II, ",1.5 dCi Comfort,12.999 €,Diésel,01.2020,14.042 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Hyundai i20, ","Hyundai i20, ",1.0 TGDI Go! Navi,11.599 €,Gasolina,07.2016,14.559 km,100 CV / 74 kW,5,Cambio tipo manual,Rojo
"Renault Scenic, ","Renault Scenic, ",1.3 TCe Zen,20.999 €,Gasolina,03.2019,15.743 km,140 CV / 103 kW,5,Doble embrague,Gris
"Toyota Yaris, ","Toyota Yaris, ",1.5 Dual VVT-iE Active,13.999 €,Gasolina,08.2019,15.935 km,110 CV / 82 kW,5,Cambio tipo manual,Blanco
"Audi A3, ","Audi A3, ",35 TDI S line,32.599 €,Diésel,04.2021,16.555 km,150 CV / 110 kW,5,Doble embrague,Blanco
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe SL Nomada 2018,11.999 €,Gasolina,05.2018,17.070 km,90 CV / 66 kW,5,Cambio tipo manual,Rojo
"Peugeot 308, ","Peugeot 308, ",1.2 e-THP Allure,18.399 €,Gasolina,06.2019,17.151 km,130 CV / 96 kW,5,Cambio tipo manual,Azul
"Dacia Sandero II, ","Dacia Sandero II, ",1.0 Ambiance,8.899 €,Gasolina,07.2018,17.201 km,73 CV / 54 kW,5,Cambio tipo manual,Blanco
"Toyota Yaris, ","Toyota Yaris, ",1.5 Active,12.199 €,Gasolina,08.2017,18.866 km,110 CV / 82 kW,5,Cambio tipo manual,Gris
"Citroen C 3, ","Citroen C 3, ",1.2 e-THP Shine,15.499 €,Gasolina,05.2021,18.880 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Citroen DS3, ","Citroen DS3, ",1.2 PureTech Desire,11.999 €,Gasolina,10.2017,20.308 km,82 CV / 60 kW,3,Cambio tipo manual,Plata
"Peugeot 208, ","Peugeot 208, ",1.5 Blue-HDi Allure,17.099 €,Diésel,09.2020,20.521 km,102 CV / 75 kW,5,Cambio tipo manual,Gris
"Renault Captur, ","Renault Captur, ",1.2 TCe Energy 4Austria,15.799 €,Gasolina,09.2017,20.796 km,118 CV / 87 kW,5,Doble embrague,Rojo
"Mercedes-Benz Clase SLK, ","Mercedes-Benz Clase SLK, ",SLK 200 BlueEfficiency,20.699 €,Gasolina,08.2012,20.809 km,185 CV / 135 kW,2,Cambio tipo manual,Rojo
"Kia XCeed, ","Kia XCeed, ",1.5 TGDI Mild-Hybrid Drive,22.499 €,Gasolina,08.2021,21.624 km,160 CV / 118 kW,5,Semi-automático,Blanco
"Opel Corsa, ","Opel Corsa, ",1.2 Edition,13.999 €,Gasolina,01.2021,21.842 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Seat Ateca, ","Seat Ateca, ",1.5 TSI ACT FR,28.299 €,Gasolina,11.2020,22.225 km,150 CV / 110 kW,5,Doble embrague,Blanco
"Peugeot 2008, ","Peugeot 2008, ",1.2 e-THP Allure,16.899 €,Gasolina,02.2019,23.364 km,110 CV / 81 kW,5,Cambio tipo automático,Gris
"Mitsubishi Eclipse Cross, ","Mitsubishi Eclipse Cross, ",1.5 T-MIVEC Motion 2WD,20.999 €,Gasolina,04.2019,23.393 km,163 CV / 120 kW,5,Cambio tipo manual,Blanco
"Renault Captur, ","Renault Captur, ",0.9 Energy Zen,12.999 €,Gasolina,06.2016,23.463 km,90 CV / 66 kW,5,Cambio tipo manual,Plata
"Kia Sportage, ","Kia Sportage, ",1.6 GDI Black Edition 2WD,22.699 €,Gasolina,11.2021,23.834 km,132 CV / 97 kW,5,Cambio tipo manual,Azul
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe Stepway,10.599 €,Gasolina,02.2017,23.995 km,90 CV / 66 kW,5,Cambio tipo manual,Azul
"Opel Mokka X, ","Opel Mokka X, ",1.4 Turbo 120 Jahre Start/Stop,17.399 €,Gasolina,07.2019,24.739 km,140 CV / 103 kW,5,Cambio tipo manual,Negro
"Ford Kuga, ","Ford Kuga, ",1.5 EcoBoost ST-Line Limited Edition,21.899 €,Gasolina,12.2019,25.186 km,150 CV / 110 kW,5,Cambio tipo manual,Rojo
"Opel Karl, ","Opel Karl, ",1.0 Selective,10.399 €,Gasolina,03.2018,25.493 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Ford Ecosport, ","Ford Ecosport, ",1.0 EcoBoost Trend,15.299 €,Gasolina,11.2019,25.891 km,101 CV / 74 kW,5,Cambio tipo manual,Gris
"Dacia Duster, ","Dacia Duster, ",1.5 dCi SL Eficacia 4x2,12.999 €,Diésel,10.2016,27.763 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Toyota Yaris, ","Toyota Yaris, ",1.0 Business,13.499 €,Gasolina,10.2020,28.190 km,69 CV / 51 kW,5,Cambio tipo manual,Beige
"Kia Picanto, ","Kia Picanto, ",1.0 Tech,9.299 €,Gasolina,07.2017,28.382 km,65 CV / 48 kW,5,Cambio tipo manual,Azul
"Kia Soul, ","Kia Soul, ",1.6 GDI Spirit,15.199 €,Gasolina,05.2018,28.849 km,132 CV / 97 kW,5,Cambio tipo manual,Azul
"Suzuki SX4, ","Suzuki SX4, ",1.6 GL,9.499 €,Gasolina,07.2013,29.429 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Mazda 3, ","Mazda 3, ",2.0 Zenith,23.499 €,Gasolina,06.2021,30.270 km,122 CV / 90 kW,5,Cambio tipo manual,Rojo
"Citroen C1, ","Citroen C1, ",1.0 Seduction,6.599 €,Gasolina,03.2013,30.406 km,68 CV / 50 kW,3,Cambio tipo manual,Negro
"Ford Focus, ","Ford Focus, ",1.5 TDCi ST-Line,15.499 €,Diésel,11.2017,30.534 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Seat León, ","Seat León, ",1.5 TSI ACT Style,17.999 €,Gasolina,09.2019,31.174 km,131 CV / 96 kW,5,Cambio tipo manual,Rojo
"Peugeot 2008, ","Peugeot 2008, ",1.2 PureTech Allure,16.999 €,Gasolina,09.2019,31.775 km,114 CV / 84 kW,5,Cambio tipo manual,Rojo
"Land Rover Evoque, ","Land Rover Evoque, ",D150 S,33.799 €,Diésel,04.2019,31.856 km,150 CV / 110 kW,5,Cambio tipo automático,Rojo
"Smart ForFour, ","Smart ForFour, ",1.0 Basis passion,10.899 €,Gasolina,03.2016,32.248 km,70 CV / 52 kW,5,Cambio tipo manual,Rojo
"Citroen C1, ","Citroen C1, ",1.0 VTi City Edition,10.599 €,Gasolina,05.2019,32.399 km,72 CV / 53 kW,5,Cambio tipo manual,Rojo
"Smart ForTwo, ","Smart ForTwo, ",0.9 Turbo Basis passion,14.999 €,Gasolina,10.2019,33.494 km,90 CV / 66 kW,3,Doble embrague,Gris
"Ford Kuga, ","Ford Kuga, ",1.5 EcoBoost Vignale,21.399 €,Gasolina,12.2018,33.508 km,150 CV / 110 kW,5,Cambio tipo manual,Negro
"Jeep Compass, ","Jeep Compass, ",1.4 M-Air Night Eagle 4x2,22.999 €,Gasolina,02.2020,33.851 km,140 CV / 103 kW,5,Cambio tipo manual,Negro
"Dacia Sandero II, ","Dacia Sandero II, ",1.5 dCi Ambiance,7.399 €,Diésel,05.2013,33.966 km,75 CV / 55 kW,5,Cambio tipo manual,Beige
"Citroen Berlingo, ","Citroen Berlingo, ",1.6 Blue-HDi XTR Plus,16.199 €,Diésel,05.2016,35.250 km,100 CV / 73 kW,5,Cambio tipo manual,Gris
"BMW Serie 1, ","BMW Serie 1, ",116i,11.499 €,Gasolina,09.2011,35.289 km,135 CV / 100 kW,5,Cambio tipo manual,Rojo
"Audi A3, ","Audi A3, ",30 TFSI S Line,22.399 €,Gasolina,05.2019,35.360 km,116 CV / 85 kW,5,Cambio tipo manual,Blanco
"Dacia Logan II, ","Dacia Logan II, ",1.2 Ambiance,7.399 €,Gasolina,06.2014,35.523 km,75 CV / 55 kW,4,Cambio tipo manual,Blanco
"Opel Mokka X, ","Opel Mokka X, ",1.4 Turbo 120 Jahre Start/Stop,17.399 €,Gasolina,07.2019,24.739 km,140 CV / 103 kW,5,Cambio tipo manual,Negro
"Ford Kuga, ","Ford Kuga, ",1.5 EcoBoost ST-Line Limited Edition,21.899 €,Gasolina,12.2019,25.186 km,150 CV / 110 kW,5,Cambio tipo manual,Rojo
"Opel Karl, ","Opel Karl, ",1.0 Selective,10.399 €,Gasolina,03.2018,25.493 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Ford Ecosport, ","Ford Ecosport, ",1.0 EcoBoost Trend,15.299 €,Gasolina,11.2019,25.891 km,101 CV / 74 kW,5,Cambio tipo manual,Gris
"Dacia Duster, ","Dacia Duster, ",1.5 dCi SL Eficacia 4x2,12.999 €,Diésel,10.2016,27.763 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Toyota Yaris, ","Toyota Yaris, ",1.0 Business,13.499 €,Gasolina,10.2020,28.190 km,69 CV / 51 kW,5,Cambio tipo manual,Beige
"Kia Picanto, ","Kia Picanto, ",1.0 Tech,9.299 €,Gasolina,07.2017,28.382 km,65 CV / 48 kW,5,Cambio tipo manual,Azul
"Kia Soul, ","Kia Soul, ",1.6 GDI Spirit,15.199 €,Gasolina,05.2018,28.849 km,132 CV / 97 kW,5,Cambio tipo manual,Azul
"Suzuki SX4, ","Suzuki SX4, ",1.6 GL,9.499 €,Gasolina,07.2013,29.429 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Mazda 3, ","Mazda 3, ",2.0 Zenith,23.499 €,Gasolina,06.2021,30.270 km,122 CV / 90 kW,5,Cambio tipo manual,Rojo
"Citroen C1, ","Citroen C1, ",1.0 Seduction,6.599 €,Gasolina,03.2013,30.406 km,68 CV / 50 kW,3,Cambio tipo manual,Negro
"Ford Focus, ","Ford Focus, ",1.5 TDCi ST-Line,15.499 €,Diésel,11.2017,30.534 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Seat León, ","Seat León, ",1.5 TSI ACT Style,17.999 €,Gasolina,09.2019,31.174 km,131 CV / 96 kW,5,Cambio tipo manual,Rojo
"Peugeot 2008, ","Peugeot 2008, ",1.2 PureTech Allure,16.999 €,Gasolina,09.2019,31.775 km,114 CV / 84 kW,5,Cambio tipo manual,Rojo
"Land Rover Evoque, ","Land Rover Evoque, ",D150 S,33.799 €,Diésel,04.2019,31.856 km,150 CV / 110 kW,5,Cambio tipo automático,Rojo
"Smart ForFour, ","Smart ForFour, ",1.0 Basis passion,10.899 €,Gasolina,03.2016,32.248 km,70 CV / 52 kW,5,Cambio tipo manual,Rojo
"Citroen C1, ","Citroen C1, ",1.0 VTi City Edition,10.599 €,Gasolina,05.2019,32.399 km,72 CV / 53 kW,5,Cambio tipo manual,Rojo
"Smart ForTwo, ","Smart ForTwo, ",0.9 Turbo Basis passion,14.999 €,Gasolina,10.2019,33.494 km,90 CV / 66 kW,3,Doble embrague,Gris
"Ford Kuga, ","Ford Kuga, ",1.5 EcoBoost Vignale,21.399 €,Gasolina,12.2018,33.508 km,150 CV / 110 kW,5,Cambio tipo manual,Negro
"Jeep Compass, ","Jeep Compass, ",1.4 M-Air Night Eagle 4x2,22.999 €,Gasolina,02.2020,33.851 km,140 CV / 103 kW,5,Cambio tipo manual,Negro
"Dacia Sandero II, ","Dacia Sandero II, ",1.5 dCi Ambiance,7.399 €,Diésel,05.2013,33.966 km,75 CV / 55 kW,5,Cambio tipo manual,Beige
"Citroen Berlingo, ","Citroen Berlingo, ",1.6 Blue-HDi XTR Plus,16.199 €,Diésel,05.2016,35.250 km,100 CV / 73 kW,5,Cambio tipo manual,Gris
"BMW Serie 1, ","BMW Serie 1, ",116i,11.499 €,Gasolina,09.2011,35.289 km,135 CV / 100 kW,5,Cambio tipo manual,Rojo
"Audi A3, ","Audi A3, ",30 TFSI S Line,22.399 €,Gasolina,05.2019,35.360 km,116 CV / 85 kW,5,Cambio tipo manual,Blanco
"Dacia Logan II, ","Dacia Logan II, ",1.2 Ambiance,7.399 €,Gasolina,06.2014,35.523 km,75 CV / 55 kW,4,Cambio tipo manual,Blanco
"Volkswagen Caddy, ","Volkswagen Caddy, ",1.6 TDI Trendline BlueMotion Tech.,14.999 €,Diésel,03.2014,35.537 km,102 CV / 75 kW,5,Cambio tipo manual,Marrón
"Mercedes-Benz Clase C, ","Mercedes-Benz Clase C, ",2.0 TDI AMG Line,34.699 €,Gasolina,06.2017,35.684 km,245 CV / 180 kW,2,Cambio tipo automático,Blanco
"Citroen Berlingo, ","Citroen Berlingo, ",1.5 Blue-HDi Feel M,22.999 €,Diésel,06.2020,35.854 km,131 CV / 96 kW,5,Cambio tipo manual,Negro
"Ford Fusión, ","Ford Fusión, ",1.4 Ambiente,5.999 €,Gasolina,07.2011,36.202 km,80 CV / 59 kW,5,Cambio tipo manual,Plata
"Peugeot Rifter, ","Peugeot Rifter, ",1.5 Blue-HDi Allure L1,25.599 €,Diésel,05.2021,37.211 km,131 CV / 96 kW,5,Cambio tipo manual,Gris
"Toyota RAV 4, ","Toyota RAV 4, ",2.5 Hybrid Advance Hybrid,24.999 €,Híbrido,09.2017,37.399 km,197 CV / 145 kW,5,Cambio tipo automático,Gris
"Suzuki Jimny, ","Suzuki Jimny, ",1.3 JX,13.499 €,Gasolina,02.2011,37.739 km,85 CV / 63 kW,3,Cambio tipo manual,Blanco
"Seat León, ","Seat León, ",1.5 TSI ACT FR Edition,20.999 €,Gasolina,05.2019,38.168 km,150 CV / 110 kW,5,Doble embrague,Azul
"Mazda CX 3, ","Mazda CX 3, ",2.0 Skyactiv-G Zenith,18.799 €,Gasolina,06.2019,38.269 km,121 CV / 89 kW,5,Cambio tipo manual,Gris
"Volkswagen Tiguan, ","Volkswagen Tiguan, ",2.0 TSI Sport 4Motion BMT,31.999 €,Gasolina,02.2020,39.620 km,190 CV / 140 kW,5,Doble embrague,Blanco
"Nissan Pixo, ","Nissan Pixo, ",1.0 Acenta,5.999 €,Gasolina,04.2013,40.221 km,68 CV / 50 kW,5,Cambio tipo manual,Negro
"Dacia Duster, ","Dacia Duster, ",1.5 dCi Laureate 4x2,10.899 €,Diésel,07.2014,40.458 km,90 CV / 66 kW,5,Cambio tipo manual,Gris
"Ford Focus, ","Ford Focus, ",1.0 EcoBoost Mild-Hybrid ST-Line,23.699 €,Gasolina,06.2022,40.550 km,125 CV / 92 kW,5,Cambio tipo manual,Blanco
"Nissan X-Trail, ","Nissan X-Trail, ",1.7 dCi Acenta,23.599 €,Diésel,07.2019,41.556 km,150 CV / 110 kW,5,Cambio tipo automático,Negro
"Audi A3, ","Audi A3, ",35 TFSI S line,32.399 €,Gasolina,05.2021,41.875 km,150 CV / 110 kW,5,Doble embrague,Gris
"Mitsubishi ASX, ","Mitsubishi ASX, ",1.6 Challenge 2WD,15.499 €,Gasolina,04.2019,41.960 km,117 CV / 86 kW,5,Cambio tipo manual,Blanco
"Peugeot 207, ","Peugeot 207, ",1.4 HDi Confort,7.399 €,Diésel,08.2013,42.339 km,68 CV / 50 kW,5,Cambio tipo manual,Blanco
"Hyundai i30, ","Hyundai i30, ",1.0 TGDI Techo Tech,13.999 €,Gasolina,01.2017,42.422 km,120 CV / 88 kW,5,Cambio tipo manual,Rojo
"Fiat Tipo, ","Fiat Tipo, ",1.4 Lounge,13.499 €,Gasolina,07.2020,42.916 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Renault Clio, ","Renault Clio, ",0.9 Energy Limited,12.999 €,Gasolina,07.2019,42.960 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Peugeot Rifter, ","Peugeot Rifter, ",1.5 Blue-HDi Allure L1,26.999 €,Diésel,08.2020,43.038 km,131 CV / 96 kW,5,Cambio tipo automático,Gris
"Toyota Verso, ","Toyota Verso, ",1.6 Advance,16.399 €,Gasolina,09.2017,43.192 km,132 CV / 97 kW,5,Cambio tipo manual,Blanco
"Opel Corsa, ","Opel Corsa, ",1.4 Expression,8.699 €,Gasolina,07.2016,44.101 km,75 CV / 55 kW,5,Cambio tipo manual,Rojo
"Nissan Juke, ","Nissan Juke, ",1.5 Turbodiesel Acenta,13.999 €,Diésel,06.2017,44.111 km,110 CV / 81 kW,5,Cambio tipo manual,Rojo
"Opel Corsa, ","Opel Corsa, ",1.4 Color Edition,11.499 €,Gasolina,04.2018,44.344 km,90 CV / 66 kW,5,Cambio tipo manual,Azul
"Smart ForTwo, ","Smart ForTwo, ",1.0 Micro Hybrid Drive passion,7.499 €,Gasolina,07.2012,44.492 km,70 CV / 52 kW,2,Semi-automático,Negro
"Citroen Berlingo, ","Citroen Berlingo, ",1.5 Blue-HDi Shine M,21.999 €,Diésel,05.2019,44.535 km,102 CV / 75 kW,5,Cambio tipo manual,Blanco
"Opel Mokka X, ","Opel Mokka X, ",1.4 Turbo Excellence Start/Stop,15.199 €,Gasolina,01.2017,44.844 km,140 CV / 103 kW,5,Cambio tipo manual,Azul
"Renault Twingo, ","Renault Twingo, ",0.9 Energy GT,12.499 €,Gasolina,06.2018,44.970 km,110 CV / 80 kW,5,Cambio tipo manual,Naranja
"Renault Fluence, ","Renault Fluence, ",1.6 Dynamique,9.599 €,Gasolina,12.2013,45.251 km,110 CV / 81 kW,4,Cambio tipo manual,Negro
"Citroen C 3, ","Citroen C 3, ",1.2 PureTech Elle,11.999 €,Gasolina,05.2019,45.387 km,82 CV / 60 kW,5,Cambio tipo manual,Gris
"Ford Kuga, ","Ford Kuga, ",1.5 EcoBoost Trend+,18.999 €,Gasolina,05.2018,45.855 km,150 CV / 110 kW,5,Cambio tipo manual,Blanco
"Seat Ibiza, ","Seat Ibiza, ",1.0 TSI FR Plus,18.499 €,Gasolina,05.2019,46.002 km,116 CV / 85 kW,5,Doble embrague,Blanco
"Citroen C3 Aircross, ","Citroen C3 Aircross, ",1.2 e-THP Feel,15.499 €,Gasolina,06.2019,46.005 km,110 CV / 81 kW,5,Cambio tipo manual,Azul
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 Essence 2WD,19.499 €,Gasolina,01.2019,46.039 km,132 CV / 97 kW,5,Cambio tipo manual,Azul
"Toyota Corolla, ","Toyota Corolla, ",1.8 Hybrid Active Tech,19.599 €,Híbrido,11.2019,46.071 km,122 CV / 90 kW,5,Cambio tipo automático,Gris
"Toyota Yaris, ","Toyota Yaris, ",1.4 D-4D Life,8.699 €,Diésel,02.2011,46.199 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.5 TSI ACT Advance,19.799 €,Gasolina,01.2020,46.360 km,131 CV / 96 kW,,Cambio tipo manual,Rojo
"Nissan Juke, ","Nissan Juke, ",1.6 N-Connecta,14.799 €,Gasolina,01.2017,46.408 km,117 CV / 86 kW,5,Cambio tipo automático,Rojo
"Peugeot 3008, ","Peugeot 3008, ",1.2 e-THP Allure,24.499 €,Gasolina,01.2021,46.433 km,130 CV / 96 kW,5,Cambio tipo manual,Negro
"Renault Megane, ","Renault Megane, ",1.6 TCe Energy GT,18.399 €,Gasolina,10.2016,46.855 km,205 CV / 151 kW,5,Doble embrague,Azul
"Fiat Qubo, ","Fiat Qubo, ",1.3 JTD Dynamic,9.499 €,Diésel,09.2014,46.921 km,75 CV / 55 kW,5,Cambio tipo automático,Plata
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe SL Nomada 2018,11.999 €,Gasolina,05.2018,46.940 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Opel Astra K, ","Opel Astra K, ",1.4 SIDI Turbo 120 Jahre,15.299 €,Gasolina,07.2019,47.329 km,125 CV / 92 kW,5,Cambio tipo manual,Rojo
